category_id,category,subscribers,video_views,popularity_rating
1,Autos & Vehicles,35700000,15003458141.0,420.26
2,Comedy,1388500000,550112774315.0,396.19
3,Education,1194400000,696614472899.0,583.23
4,Entertainment,5158200000,2527739309583.0,490.04
5,Film & Animation,1314900000,544422509313.0,414.04
6,Gaming,1960100000,717638899629.0,366.12
7,Howto & Style,775600000,201817545540.0,260.21
8,Movies,51300000,15383255129.0,299.87
9,Music,5195000000,3121477506633.0,600.86
10,News & Politics,536400000,270391919347.0,504.09
11,Nonprofits & Activism,55500000,10862911785.0,195.73
12,People & Blogs,2779400000,1265791201548.0,455.42
13,Pets & Animals,72400000,44866745899.0,619.71
14,Science & Technology,316500000,66976747110.0,211.62
15,Shows,541000000,446206826909.0,824.78
16,Sports,298200000,147986290620.0,496.27
17,Trailers,78000000,33262717607.0,426.45
18,Travel & Events,12500000,3140883140.0,251.27
